personaje,texto,versos,n_versos
CLARÍN,"    En una encantada torre,
por lo que sé, vivo preso.
¿Qué me harán por lo que ignoro,
si por lo que sé me han muerto?
¡Que un hombre con tanta ha[m]bre 
viniese a morir viviendo!
Lástima tengo de mí.
Todos dirán: «Bien lo creo»,
y bien se puede creer;
pues para mí este silencio 
no conforma con el nombre
Clarín, y callar no puedo.
Quien me hace compañía
aquí, si a decirlo acierto,
son arañas y ratones. 
¡Miren qué dulces jilgueros!
De los sueños desta noche
la triste cabeza tengo
llena de mil chirimías,
de trompetas y embelecos, 
de procesiones, de cruces,
de disciplinantes; y éstos,
unos suben, otros bajan,
unos se desmayan viendo
la sangre que llevan otros. 

Mas yo, la verdad diciendo,
de no comer me desmayo;
que en esta prisión me veo,
donde ya todos los días
en el filósofo leo 
Nicomedes, y las noches
en el concilio Niceno.
Si llaman santo al callar,
como en calendario nuevo,
San Secreto es para mí, 
pues le ayuno y no le huelgo;
aunque está bien merecido
el castigo que padezco,
pues callé, siendo criado,
que es el mayor sacrilegio. ","['    En una encantada torre,', 'por lo que sé, vivo preso.', '¿Qué me harán por lo que ignoro,', 'si por lo que sé me han muerto?', '¡Que un hombre con tanta ha[m]bre ', 'viniese a morir viviendo!', 'Lástima tengo de mí.', 'Todos dirán: «Bien lo creo»,', 'y bien se puede creer;', 'pues para mí este silencio ', 'no conforma con el nombre', 'Clarín, y callar no puedo.', 'Quien me hace compañía', 'aquí, si a decirlo acierto,', 'son arañas y ratones. ', '¡Miren qué dulces jilgueros!', 'De los sueños desta noche', 'la triste cabeza tengo', 'llena de mil chirimías,', 'de trompetas y embelecos, ', 'de procesiones, de cruces,', 'de disciplinantes; y éstos,', 'unos suben, otros bajan,', 'unos se desmayan viendo', 'la sangre que llevan otros. ', 'Mas yo, la verdad diciendo,', 'de no comer me desmayo;', 'que en esta prisión me veo,', 'donde ya todos los días', 'en el filósofo leo ', 'Nicomedes, y las noches', 'en el concilio Niceno.', 'Si llaman santo al callar,', 'como en calendario nuevo,', 'San Secreto es para mí, ', 'pues le ayuno y no le huelgo;', 'aunque está bien merecido', 'el castigo que padezco,', 'pues callé, siendo criado,', 'que es el mayor sacrilegio. ']",40
[SOLDADO] 1.º,"Ésta es la torre en que está.
Echad la puerta en el suelo;
entrad todos.","['Ésta es la torre en que está.', 'Echad la puerta en el suelo;', 'entrad todos.']",3
CLARÍN,"¡Vive Dios!
que a mí me buscan es cierto
pues me dicen que aquí estoy. 
¿Qué me querrán?","['¡Vive Dios!', 'que a mí me buscan es cierto', 'pues me dicen que aquí estoy. ', '¿Qué me querrán?']",4
[SOLDADO] 1.º,Entrad dentro.,['Entrad dentro.'],1
[SOLDADO] 2.º,Aquí está.,['Aquí está.'],1
CLARÍN,No está.,['No está.'],1
TODOS,Señor...,['Señor...'],1
CLARÍN,¿Si vienen borrachos éstos?,['¿Si vienen borrachos éstos?'],1
[SOLDADO] 2.º,"Tú nuestro príncipe eres;
ni admitimos ni queremos 
sino al señor natural,
y no príncipe extranjero.
A todos nos da los pies.","['Tú nuestro príncipe eres;', 'ni admitimos ni queremos ', 'sino al señor natural,', 'y no príncipe extranjero.', 'A todos nos da los pies.']",5
TODOS,¡Viva el gran príncipe n[uest]ro!,['¡Viva el gran príncipe n[uest]ro!'],1
